vehicle_type,type_code,distance_km,weight_kg,load_ratio,mileage_kmpl,fuel_l
heavy-truck,0,666.3,5196.0,0.52,5.18,144.0
delivery-van,3,732.1,249.0,0.31,11.39,70.99
tempo,2,469.2,364.0,0.3,16.23,29.34
delivery-van,3,74.9,786.0,0.98,13.76,6.54
tempo,2,71.1,946.0,0.79,14.62,5.56
tempo,2,531.6,1048.0,0.87,13.96,47.25
tempo,2,370.6,767.0,0.64,13.91,31.42
heavy-truck,0,662.8,7430.0,0.74,5.0,157.73
heavy-truck,0,618.4,4281.0,0.43,5.42,132.92
tempo,2,473.7,922.0,0.77,15.74,36.04
delivery-van,3,274.3,779.0,0.97,12.88,25.07
mini-truck,1,591.2,1910.0,0.38,7.12,90.98
heavy-truck,0,435.7,3622.0,0.36,5.32,88.29
heavy-truck,0,362.5,6305.0,0.63,5.52,74.41
delivery-van,3,457.7,440.0,0.55,12.81,42.14
heavy-truck,0,555.8,2376.0,0.24,5.71,101.77
tempo,2,528.1,744.0,0.62,15.58,39.53
heavy-truck,0,81.7,5389.0,0.54,5.24,16.67
delivery-van,3,465.4,799.0,1.0,12.14,50.5
delivery-van,3,561.7,727.0,0.91,12.99,53.58
tempo,2,129.0,575.0,0.48,15.38,8.76
tempo,2,648.5,607.0,0.51,13.53,53.89
tempo,2,163.2,517.0,0.43,15.38,11.71
mini-truck,1,574.7,2312.0,0.46,6.41,93.53
heavy-truck,0,138.5,3932.0,0.39,5.65,26.47
heavy-truck,0,659.2,2258.0,0.23,5.4,119.44
delivery-van,3,615.3,647.0,0.81,10.55,70.46
heavy-truck,0,537.2,2476.0,0.25,5.37,104.15
mini-truck,1,308.2,4955.0,0.99,8.37,48.62
mini-truck,1,137.6,4502.0,0.9,8.84,19.85
delivery-van,3,342.8,724.0,0.9,11.99,35.42
tempo,2,396.7,988.0,0.82,15.28,31.92
delivery-van,3,144.7,231.0,0.29,13.76,11.18
heavy-truck,0,481.2,9373.0,0.94,5.29,112.05
mini-truck,1,600.2,1245.0,0.25,6.62,89.92
heavy-truck,0,53.2,5889.0,0.59,4.81,12.15
delivery-van,3,266.5,757.0,0.95,10.94,29.45
heavy-truck,0,281.1,3684.0,0.37,5.34,61.35
heavy-truck,0,726.1,5664.0,0.57,4.77,182.46
tempo,2,623.5,355.0,0.3,16.19,43.92
heavy-truck,0,139.1,9615.0,0.96,4.64,36.75
mini-truck,1,559.0,4930.0,0.99,7.16,99.93
tempo,2,665.0,305.0,0.25,13.67,52.67
delivery-van,3,608.2,324.0,0.41,10.82,65.68
mini-truck,1,134.5,2378.0,0.48,7.39,21.47
tempo,2,321.5,1104.0,0.92,12.38,29.4
heavy-truck,0,393.6,5090.0,0.51,4.61,97.47
heavy-truck,0,178.7,7282.0,0.73,5.13,40.55
delivery-van,3,492.1,344.0,0.43,11.09,49.14
delivery-van,3,84.9,495.0,0.62,11.54,8.27
mini-truck,1,446.5,3931.0,0.79,6.83,78.29
mini-truck,1,398.1,2085.0,0.42,7.59,60.07
heavy-truck,0,500.2,8623.0,0.86,4.88,124.12
delivery-van,3,240.1,223.0,0.28,10.6,23.54
delivery-van,3,682.5,512.0,0.64,12.01,64.36
mini-truck,1,246.2,4243.0,0.85,7.11,37.7
heavy-truck,0,194.1,4927.0,0.49,5.46,43.42
mini-truck,1,97.1,1962.0,0.39,7.05,16.51
tempo,2,309.7,911.0,0.76,14.78,25.54
heavy-truck,0,452.9,4768.0,0.48,4.59,111.43
heavy-truck,0,50.9,9717.0,0.97,5.82,10.53
tempo,2,608.7,1103.0,0.92,15.76,48.0
delivery-van,3,175.5,450.0,0.56,12.6,16.42
heavy-truck,0,115.4,9660.0,0.97,4.48,30.02
heavy-truck,0,258.6,4566.0,0.46,4.4,64.71
delivery-van,3,230.6,488.0,0.61,11.74,21.67
mini-truck,1,575.6,4973.0,0.99,6.51,112.36
tempo,2,611.2,414.0,0.35,15.48,45.52
tempo,2,484.4,1172.0,0.98,12.12,49.55
heavy-truck,0,54.5,4748.0,0.47,5.3,11.45
heavy-truck,0,76.1,5156.0,0.52,5.86,14.49
heavy-truck,0,72.5,5302.0,0.53,5.86,13.39
mini-truck,1,612.0,4965.0,0.99,7.11,111.81
delivery-van,3,257.1,431.0,0.54,11.62,23.28
heavy-truck,0,686.1,9661.0,0.97,5.73,159.82
heavy-truck,0,474.0,5515.0,0.55,4.71,116.41
tempo,2,92.8,431.0,0.36,12.06,8.76
mini-truck,1,274.4,3179.0,0.64,7.83,38.32
mini-truck,1,632.9,3654.0,0.73,7.79,100.89
mini-truck,1,286.1,1372.0,0.27,7.69,39.21
tempo,2,639.5,697.0,0.58,14.74,49.93
delivery-van,3,221.8,590.0,0.74,12.3,23.36
delivery-van,3,639.8,483.0,0.6,12.44,57.62
tempo,2,362.5,859.0,0.72,13.74,30.93
heavy-truck,0,574.7,4429.0,0.44,5.62,120.89
tempo,2,493.4,905.0,0.75,12.99,45.62
mini-truck,1,560.1,2552.0,0.51,7.8,81.48
heavy-truck,0,277.6,4184.0,0.42,4.8,64.29
heavy-truck,0,346.5,2937.0,0.29,4.56,80.52
mini-truck,1,399.5,2842.0,0.57,7.99,54.25
delivery-van,3,103.1,665.0,0.83,13.59,8.75
mini-truck,1,450.9,2802.0,0.56,6.41,80.06
mini-truck,1,670.6,3934.0,0.79,8.39,93.52
tempo,2,699.3,603.0,0.5,13.61,58.4
tempo,2,280.5,1134.0,0.95,14.34,24.63
heavy-truck,0,65.2,2333.0,0.23,5.51,12.34
mini-truck,1,315.2,4496.0,0.9,6.44,62.63
heavy-truck,0,57.3,4349.0,0.43,5.74,11.04
delivery-van,3,139.5,610.0,0.76,12.13,13.64
delivery-van,3,539.3,639.0,0.8,11.33,57.17
tempo,2,470.8,521.0,0.43,13.89,36.76
tempo,2,698.8,1040.0,0.87,15.99,52.76
tempo,2,631.0,840.0,0.7,12.5,62.01
mini-truck,1,732.3,3445.0,0.69,8.74,96.46
heavy-truck,0,224.5,4382.0,0.44,4.32,54.8
mini-truck,1,134.4,1773.0,0.35,7.29,18.92
tempo,2,212.6,686.0,0.57,13.73,16.55
heavy-truck,0,668.5,7323.0,0.73,5.53,144.52
delivery-van,3,489.0,300.0,0.37,11.03,50.03
delivery-van,3,336.1,389.0,0.49,10.52,34.69
delivery-van,3,296.0,402.0,0.5,13.89,23.85
heavy-truck,0,722.9,2899.0,0.29,5.51,137.8
tempo,2,60.3,796.0,0.66,14.92,4.8
mini-truck,1,153.4,4074.0,0.81,7.83,24.2
heavy-truck,0,399.9,8829.0,0.88,5.78,85.86
delivery-van,3,457.3,499.0,0.62,13.71,37.57
mini-truck,1,489.1,4250.0,0.85,7.05,81.29
heavy-truck,0,542.4,5644.0,0.56,5.15,110.75
delivery-van,3,520.1,528.0,0.66,11.95,48.25
delivery-van,3,293.9,726.0,0.91,12.9,30.06
delivery-van,3,521.0,688.0,0.86,13.82,44.98
mini-truck,1,619.2,1053.0,0.21,8.6,73.92
delivery-van,3,186.2,605.0,0.76,10.44,19.2
mini-truck,1,107.2,3114.0,0.62,7.82,15.32
delivery-van,3,162.2,213.0,0.27,12.81,13.49
heavy-truck,0,594.5,4069.0,0.41,4.49,157.19
delivery-van,3,243.8,257.0,0.32,12.51,18.7
delivery-van,3,574.7,397.0,0.5,13.97,46.04
mini-truck,1,398.5,4583.0,0.92,6.45,76.79
mini-truck,1,447.5,1420.0,0.28,6.47,80.17
delivery-van,3,707.6,267.0,0.33,13.33,53.28
heavy-truck,0,361.2,9631.0,0.96,5.76,78.51
mini-truck,1,543.3,4153.0,0.83,7.69,85.04
heavy-truck,0,670.5,9709.0,0.97,4.76,166.27
heavy-truck,0,143.1,9281.0,0.93,5.28,33.85
tempo,2,388.7,310.0,0.26,15.98,24.33
mini-truck,1,107.7,1001.0,0.2,7.17,15.72
mini-truck,1,599.7,3217.0,0.64,7.36,98.05
delivery-van,3,417.6,392.0,0.49,11.08,41.88
delivery-van,3,145.7,352.0,0.44,10.4,15.71
tempo,2,354.7,967.0,0.81,15.54,26.28
heavy-truck,0,439.7,9768.0,0.98,5.77,93.54
tempo,2,418.0,769.0,0.64,12.37,42.19
mini-truck,1,711.5,3562.0,0.71,7.26,119.57
tempo,2,553.6,269.0,0.22,16.26,33.01
tempo,2,180.0,252.0,0.21,13.75,13.51
delivery-van,3,178.7,605.0,0.76,11.71,19.31
heavy-truck,0,550.3,5749.0,0.57,4.42,133.68
heavy-truck,0,586.8,6546.0,0.65,5.16,131.62
mini-truck,1,362.1,2956.0,0.59,7.03,58.38
mini-truck,1,56.7,3361.0,0.67,7.14,7.91
tempo,2,412.1,1033.0,0.86,13.57,37.19
mini-truck,1,202.5,3162.0,0.63,6.82,35.76
tempo,2,227.3,630.0,0.52,16.29,16.17
delivery-van,3,385.4,573.0,0.72,11.84,39.22
mini-truck,1,584.5,4942.0,0.99,7.89,91.63
delivery-van,3,386.6,632.0,0.79,13.34,34.3
tempo,2,546.9,906.0,0.76,13.37,51.07
mini-truck,1,665.1,3839.0,0.77,7.83,96.01
heavy-truck,0,584.7,6856.0,0.69,4.48,161.3
delivery-van,3,627.2,713.0,0.89,11.79,68.67
tempo,2,427.5,872.0,0.73,13.1,39.95
mini-truck,1,378.8,4593.0,0.92,8.73,57.27
mini-truck,1,574.1,3580.0,0.72,7.64,94.59
heavy-truck,0,742.9,7825.0,0.78,5.9,151.03
tempo,2,454.5,862.0,0.72,12.51,42.0
mini-truck,1,688.5,4533.0,0.91,8.68,96.28
heavy-truck,0,713.5,4305.0,0.43,5.01,171.0
delivery-van,3,714.2,281.0,0.35,12.52,58.06
heavy-truck,0,189.7,8274.0,0.83,5.61,45.44
mini-truck,1,726.4,3342.0,0.67,6.65,120.81
tempo,2,444.4,904.0,0.75,14.94,36.66
tempo,2,557.4,278.0,0.23,15.98,35.99
delivery-van,3,435.2,436.0,0.55,11.85,39.67
mini-truck,1,468.1,4332.0,0.87,7.96,70.95
delivery-van,3,233.1,230.0,0.29,10.89,22.12
heavy-truck,0,249.9,5509.0,0.55,5.75,48.17
mini-truck,1,567.4,3618.0,0.72,7.81,88.81
tempo,2,646.7,993.0,0.83,13.63,58.57
tempo,2,272.6,853.0,0.71,14.82,21.9
heavy-truck,0,515.3,4830.0,0.48,4.5,131.18
mini-truck,1,513.5,1242.0,0.25,8.41,65.93
mini-truck,1,384.1,4271.0,0.85,7.69,61.36
mini-truck,1,230.1,3840.0,0.77,8.15,32.64
mini-truck,1,484.7,4584.0,0.92,6.64,83.24
delivery-van,3,133.5,284.0,0.36,12.51,11.66
delivery-van,3,413.0,237.0,0.3,13.29,32.53
tempo,2,158.9,698.0,0.58,13.66,12.78
delivery-van,3,409.1,595.0,0.74,13.02,34.74
tempo,2,442.7,621.0,0.52,12.38,39.83
heavy-truck,0,559.5,7455.0,0.75,4.85,130.54
heavy-truck,0,140.4,5002.0,0.5,4.49,34.7
delivery-van,3,241.2,514.0,0.64,11.65,24.74
delivery-van,3,370.4,513.0,0.64,12.3,35.9
mini-truck,1,379.9,1415.0,0.28,6.84,58.46
mini-truck,1,281.8,3738.0,0.75,7.29,44.43
tempo,2,598.5,342.0,0.28,14.62,47.81
heavy-truck,0,183.6,2929.0,0.29,4.88,41.45
mini-truck,1,641.3,2286.0,0.46,6.69,106.73
delivery-van,3,521.9,515.0,0.64,10.75,59.01
tempo,2,173.8,516.0,0.43,13.9,14.49
tempo,2,728.7,273.0,0.23,14.02,56.21
delivery-van,3,245.4,757.0,0.95,11.7,27.0
tempo,2,233.0,954.0,0.8,13.58,21.02
tempo,2,613.3,563.0,0.47,12.41,58.3
delivery-van,3,482.2,323.0,0.4,13.26,41.88
heavy-truck,0,674.7,3864.0,0.39,5.55,125.04
delivery-van,3,54.2,648.0,0.81,12.69,5.18
delivery-van,3,213.8,271.0,0.34,11.32,22.19
mini-truck,1,471.0,2236.0,0.45,8.0,61.86
tempo,2,560.1,1092.0,0.91,14.06,50.91
heavy-truck,0,323.0,5647.0,0.56,5.36,69.52
delivery-van,3,366.0,461.0,0.58,12.75,33.28
mini-truck,1,314.6,3862.0,0.77,7.01,54.62
mini-truck,1,742.6,4784.0,0.96,8.85,109.29
delivery-van,3,391.7,330.0,0.41,12.85,34.23
mini-truck,1,332.9,1557.0,0.31,6.47,53.92
heavy-truck,0,58.2,2547.0,0.25,4.79,12.87
heavy-truck,0,322.0,2711.0,0.27,5.3,65.49
mini-truck,1,484.7,3210.0,0.64,8.28,69.55
tempo,2,75.0,464.0,0.39,15.59,5.72
mini-truck,1,457.6,2237.0,0.45,8.62,58.15
delivery-van,3,399.6,365.0,0.46,12.65,34.92
mini-truck,1,308.4,3458.0,0.69,7.73,44.02
delivery-van,3,476.4,625.0,0.78,10.82,51.41
tempo,2,303.6,552.0,0.46,15.24,22.49
mini-truck,1,560.0,1988.0,0.4,8.55,70.78
heavy-truck,0,448.3,6065.0,0.61,5.27,97.75
heavy-truck,0,477.8,5306.0,0.53,5.11,103.39
tempo,2,214.7,1179.0,0.98,16.14,16.97
tempo,2,683.0,1008.0,0.84,12.56,66.48
tempo,2,722.2,356.0,0.3,14.12,58.38
delivery-van,3,122.8,628.0,0.79,10.73,14.48
delivery-van,3,601.0,352.0,0.44,12.7,52.51
tempo,2,204.2,1058.0,0.88,15.61,16.29
heavy-truck,0,278.1,6606.0,0.66,5.65,52.44
mini-truck,1,560.1,2919.0,0.58,7.55,87.05
delivery-van,3,683.7,746.0,0.93,12.36,68.77
delivery-van,3,427.3,511.0,0.64,13.5,36.58
tempo,2,282.8,535.0,0.45,13.45,23.04
delivery-van,3,206.0,303.0,0.38,11.09,18.84
delivery-van,3,516.5,736.0,0.92,12.63,52.76
delivery-van,3,264.2,544.0,0.68,12.85,24.96
heavy-truck,0,663.8,7611.0,0.76,4.83,147.84
delivery-van,3,54.3,364.0,0.45,13.66,4.23
heavy-truck,0,104.0,8865.0,0.89,5.86,22.97
tempo,2,650.1,408.0,0.34,12.06,55.55
tempo,2,606.9,1039.0,0.87,13.94,51.39
mini-truck,1,447.1,4924.0,0.98,8.07,69.13
mini-truck,1,156.0,3035.0,0.61,8.12,22.64
delivery-van,3,332.1,603.0,0.75,11.67,34.2
delivery-van,3,304.7,332.0,0.42,12.33,28.08
heavy-truck,0,683.8,5561.0,0.56,5.63,149.49
tempo,2,454.1,1191.0,0.99,11.9,46.03
delivery-van,3,522.8,472.0,0.59,11.38,52.6
tempo,2,79.9,843.0,0.7,16.17,5.68
delivery-van,3,144.0,280.0,0.35,10.54,14.78
heavy-truck,0,412.8,2337.0,0.23,5.21,82.62
tempo,2,209.5,662.0,0.55,14.52,16.22
mini-truck,1,655.6,1103.0,0.22,7.03,88.43
delivery-van,3,457.0,551.0,0.69,13.97,35.74
delivery-van,3,191.5,206.0,0.26,11.21,17.88
delivery-van,3,430.1,315.0,0.39,12.38,38.44
tempo,2,473.4,1151.0,0.96,15.84,36.78
tempo,2,78.8,1004.0,0.84,12.22,8.0
tempo,2,689.3,755.0,0.63,14.74,56.46
delivery-van,3,233.2,706.0,0.88,12.45,22.03
tempo,2,511.3,333.0,0.28,13.45,39.17
tempo,2,406.0,719.0,0.6,12.73,35.92
heavy-truck,0,585.4,9280.0,0.93,4.54,153.38
heavy-truck,0,680.6,8189.0,0.82,5.27,144.39
mini-truck,1,628.2,3248.0,0.65,8.78,92.95
mini-truck,1,747.9,4867.0,0.97,6.53,139.9
mini-truck,1,270.0,4874.0,0.97,6.91,49.26
delivery-van,3,726.3,715.0,0.89,10.69,80.1
tempo,2,332.4,321.0,0.27,15.83,25.02
heavy-truck,0,701.3,7194.0,0.72,5.76,145.3
tempo,2,300.4,298.0,0.25,13.19,21.94
delivery-van,3,141.0,325.0,0.41,13.25,11.53
heavy-truck,0,171.7,4920.0,0.49,4.76,41.4
mini-truck,1,568.2,1331.0,0.27,7.87,75.32
mini-truck,1,291.8,3492.0,0.7,8.47,43.84
heavy-truck,0,654.1,7872.0,0.79,4.48,178.58
mini-truck,1,274.5,2446.0,0.49,8.09,42.03
delivery-van,3,689.8,512.0,0.64,14.04,52.81
delivery-van,3,255.1,325.0,0.41,13.79,19.51
heavy-truck,0,358.3,5119.0,0.51,4.92,81.02
tempo,2,63.4,707.0,0.59,12.67,5.56
mini-truck,1,310.8,2615.0,0.52,7.36,48.32
mini-truck,1,711.4,1601.0,0.32,7.16,110.6
delivery-van,3,747.9,403.0,0.5,10.87,77.94
mini-truck,1,487.5,1857.0,0.37,6.52,82.61
tempo,2,594.4,1137.0,0.95,16.17,42.53
delivery-van,3,710.9,215.0,0.27,13.57,54.61
tempo,2,439.2,760.0,0.63,12.32,44.25
delivery-van,3,82.2,737.0,0.92,10.71,9.7
mini-truck,1,76.3,1627.0,0.33,8.83,9.81
mini-truck,1,150.2,2018.0,0.4,8.5,19.88
mini-truck,1,363.7,4416.0,0.88,6.77,63.19
delivery-van,3,412.6,791.0,0.99,14.1,38.87
heavy-truck,0,120.8,5358.0,0.54,5.38,25.66
mini-truck,1,204.1,1258.0,0.25,6.78,30.33
delivery-van,3,364.9,630.0,0.79,13.04,34.63
heavy-truck,0,383.1,9416.0,0.94,4.75,105.04
mini-truck,1,182.8,2666.0,0.53,6.66,31.72
heavy-truck,0,186.1,3460.0,0.35,5.51,34.0
delivery-van,3,385.4,619.0,0.77,14.1,34.33
mini-truck,1,185.7,3275.0,0.65,7.72,28.47
heavy-truck,0,681.9,8734.0,0.87,4.46,199.65
delivery-van,3,113.5,484.0,0.61,11.22,11.19
heavy-truck,0,501.9,7859.0,0.79,5.53,99.4
tempo,2,712.2,915.0,0.76,14.31,57.66
delivery-van,3,641.4,598.0,0.75,10.46,69.56
heavy-truck,0,218.7,9716.0,0.97,5.0,54.3
tempo,2,660.4,432.0,0.36,14.12,52.31
delivery-van,3,450.7,222.0,0.28,13.69,36.28
tempo,2,200.0,1042.0,0.87,12.33,18.67
tempo,2,517.3,1118.0,0.93,13.97,45.73
mini-truck,1,703.8,4457.0,0.89,7.59,116.04
mini-truck,1,404.0,4112.0,0.82,7.09,68.5
delivery-van,3,486.5,193.0,0.24,11.7,42.25
heavy-truck,0,491.6,4089.0,0.41,4.6,123.19
delivery-van,3,229.0,460.0,0.58,12.52,21.64
tempo,2,247.3,779.0,0.65,15.16,19.56
tempo,2,55.0,575.0,0.48,14.34,3.98
delivery-van,3,141.7,258.0,0.32,14.0,10.69
heavy-truck,0,502.6,2025.0,0.2,4.97,100.94
mini-truck,1,575.7,1973.0,0.39,7.07,86.61
heavy-truck,0,249.6,7556.0,0.76,5.47,53.53
heavy-truck,0,120.7,9312.0,0.93,5.21,28.99
heavy-truck,0,733.9,2799.0,0.28,5.24,154.67
heavy-truck,0,670.7,4562.0,0.46,5.71,136.47
heavy-truck,0,402.3,6589.0,0.66,4.35,109.12
tempo,2,61.7,853.0,0.71,15.83,4.51
tempo,2,660.6,1030.0,0.86,13.87,58.13
tempo,2,203.6,1007.0,0.84,16.04,15.06
delivery-van,3,135.1,203.0,0.25,12.36,12.16
delivery-van,3,474.1,536.0,0.67,10.41,51.74
tempo,2,269.9,550.0,0.46,13.13,23.59
heavy-truck,0,251.5,5442.0,0.54,4.44,65.15
heavy-truck,0,396.8,2038.0,0.2,5.33,76.2
heavy-truck,0,182.1,3966.0,0.4,5.65,34.37
heavy-truck,0,679.4,7817.0,0.78,5.88,137.69
delivery-van,3,64.6,259.0,0.32,11.15,6.56
mini-truck,1,189.6,1853.0,0.37,7.64,25.08
heavy-truck,0,740.2,3098.0,0.31,4.65,185.01
tempo,2,471.8,1193.0,0.99,13.91,42.29
heavy-truck,0,374.0,6634.0,0.66,4.25,107.64
heavy-truck,0,330.2,2165.0,0.22,4.45,83.34
heavy-truck,0,634.1,6239.0,0.62,4.64,160.83
delivery-van,3,647.0,600.0,0.75,11.59,66.74
delivery-van,3,687.7,432.0,0.54,10.52,74.92
tempo,2,622.7,462.0,0.39,13.88,50.58
delivery-van,3,327.4,279.0,0.35,14.11,25.69
heavy-truck,0,143.4,5305.0,0.53,5.04,33.61
heavy-truck,0,548.8,3451.0,0.35,4.97,118.93
tempo,2,641.6,244.0,0.2,14.99,42.5
heavy-truck,0,311.7,9951.0,1.0,5.36,67.45
heavy-truck,0,121.4,8015.0,0.8,4.51,31.86
mini-truck,1,561.1,2546.0,0.51,6.71,84.65
mini-truck,1,184.2,3344.0,0.67,8.83,24.21
delivery-van,3,576.2,587.0,0.73,11.9,52.98
mini-truck,1,717.4,2981.0,0.6,7.34,107.14
heavy-truck,0,505.1,8819.0,0.88,4.98,123.07
mini-truck,1,109.9,4386.0,0.88,6.73,20.52
heavy-truck,0,635.1,3466.0,0.35,5.51,140.22
delivery-van,3,65.4,761.0,0.95,13.29,6.18
heavy-truck,0,668.4,4173.0,0.42,5.14,135.77
delivery-van,3,668.5,624.0,0.78,13.72,57.67
mini-truck,1,595.2,3341.0,0.67,6.85,98.83
heavy-truck,0,387.0,6028.0,0.6,5.13,87.48
mini-truck,1,307.5,3458.0,0.69,8.23,45.32
mini-truck,1,715.6,4228.0,0.85,7.88,123.19
tempo,2,377.8,606.0,0.5,14.14,28.86
mini-truck,1,176.9,3228.0,0.65,6.41,30.05
heavy-truck,0,135.5,6048.0,0.6,4.53,33.32
mini-truck,1,115.0,2238.0,0.45,8.81,14.03
delivery-van,3,616.2,420.0,0.52,11.94,54.3
delivery-van,3,348.4,734.0,0.92,10.56,40.77
delivery-van,3,306.2,236.0,0.3,12.59,26.77
tempo,2,64.6,898.0,0.75,15.56,5.11
mini-truck,1,462.8,4448.0,0.89,8.82,62.76
tempo,2,75.9,779.0,0.65,13.66,6.45
tempo,2,138.0,440.0,0.37,13.92,10.92
tempo,2,729.9,669.0,0.56,15.27,54.42
tempo,2,682.9,441.0,0.37,13.32,54.1
tempo,2,183.2,1063.0,0.89,12.5,17.75
heavy-truck,0,679.4,7621.0,0.76,5.16,149.37
mini-truck,1,589.9,2712.0,0.54,7.86,89.53
tempo,2,607.1,426.0,0.35,15.8,42.56
heavy-truck,0,306.6,9549.0,0.95,5.3,73.88
mini-truck,1,366.9,3954.0,0.79,6.69,63.35
mini-truck,1,583.9,4653.0,0.93,8.31,91.48
delivery-van,3,656.9,566.0,0.71,11.7,66.71
heavy-truck,0,280.8,7005.0,0.7,4.46,72.71
mini-truck,1,112.6,2390.0,0.48,7.29,16.25
heavy-truck,0,244.3,5718.0,0.57,4.75,61.28
tempo,2,296.3,525.0,0.44,13.01,21.35
heavy-truck,0,415.9,7285.0,0.73,4.73,107.28
mini-truck,1,575.5,2719.0,0.54,8.41,77.36
tempo,2,678.5,367.0,0.31,14.71,50.77
tempo,2,507.0,955.0,0.8,14.31,40.76
delivery-van,3,101.0,177.0,0.22,11.93,9.35
mini-truck,1,53.1,3216.0,0.64,6.5,9.08
mini-truck,1,274.7,1983.0,0.4,6.47,45.82
tempo,2,227.7,500.0,0.42,16.45,15.47
delivery-van,3,553.2,588.0,0.74,12.87,48.59
delivery-van,3,385.7,599.0,0.75,14.06,31.12
tempo,2,612.3,485.0,0.4,13.6,53.45
delivery-van,3,73.1,640.0,0.8,14.05,6.39
delivery-van,3,344.1,463.0,0.58,10.52,38.75
mini-truck,1,734.5,4898.0,0.98,6.99,128.8
heavy-truck,0,124.3,4458.0,0.45,5.47,27.2
tempo,2,464.1,652.0,0.54,14.81,36.77
delivery-van,3,610.7,608.0,0.76,10.94,62.31
mini-truck,1,213.6,3831.0,0.77,8.42,28.19
heavy-truck,0,214.6,7931.0,0.79,4.47,55.07
heavy-truck,0,500.6,4985.0,0.5,5.01,113.13
heavy-truck,0,620.1,4376.0,0.44,4.76,140.6
tempo,2,424.0,1016.0,0.85,13.88,36.57
mini-truck,1,697.8,3371.0,0.67,8.3,99.1
delivery-van,3,350.2,746.0,0.93,12.23,36.85
delivery-van,3,602.5,439.0,0.55,10.42,63.98
mini-truck,1,547.3,2599.0,0.52,8.31,72.1
heavy-truck,0,212.3,4949.0,0.49,4.86,47.45
heavy-truck,0,162.8,2092.0,0.21,5.04,33.98
tempo,2,206.5,778.0,0.65,14.46,15.57
tempo,2,543.1,1025.0,0.85,12.37,56.32
tempo,2,146.0,417.0,0.35,13.61,12.96
tempo,2,73.9,942.0,0.78,14.03,6.41
tempo,2,676.1,740.0,0.62,16.28,51.32
tempo,2,164.0,442.0,0.37,14.58,12.77
mini-truck,1,125.8,2143.0,0.43,7.86,17.6
mini-truck,1,69.2,3038.0,0.61,8.3,9.84
tempo,2,542.5,558.0,0.46,12.82,45.55
tempo,2,522.0,276.0,0.23,14.57,37.34
delivery-van,3,142.2,481.0,0.6,12.39,12.44
mini-truck,1,551.2,4249.0,0.85,7.13,94.44
tempo,2,530.2,770.0,0.64,15.69,38.07
mini-truck,1,331.4,2182.0,0.44,7.25,49.92
heavy-truck,0,450.8,2313.0,0.23,5.87,76.38
mini-truck,1,605.1,2567.0,0.51,8.29,80.36
mini-truck,1,675.8,1114.0,0.22,8.55,79.78
tempo,2,645.8,1091.0,0.91,16.18,48.99
mini-truck,1,312.6,2107.0,0.42,8.35,41.71
delivery-van,3,381.0,506.0,0.63,10.76,37.01
delivery-van,3,443.7,181.0,0.23,10.54,43.51
mini-truck,1,443.8,2580.0,0.52,8.1,60.93
heavy-truck,0,435.1,4082.0,0.41,5.16,103.6
heavy-truck,0,340.2,7275.0,0.73,5.03,80.71
heavy-truck,0,206.6,8816.0,0.88,4.77,51.21
delivery-van,3,142.1,599.0,0.75,12.72,13.49
heavy-truck,0,536.8,4483.0,0.45,5.46,106.86
heavy-truck,0,256.7,5941.0,0.59,5.17,51.81
heavy-truck,0,609.9,3571.0,0.36,4.64,155.05
heavy-truck,0,726.1,4893.0,0.49,5.4,165.48
delivery-van,3,455.5,398.0,0.5,12.26,44.75
heavy-truck,0,736.2,4970.0,0.5,4.82,169.68
delivery-van,3,454.2,365.0,0.46,10.63,44.81
heavy-truck,0,76.2,7430.0,0.74,5.36,16.91
mini-truck,1,537.3,3431.0,0.69,7.53,85.37
delivery-van,3,737.0,639.0,0.8,10.85,78.06
tempo,2,166.4,610.0,0.51,15.32,12.69
tempo,2,212.3,1072.0,0.89,14.6,16.82
delivery-van,3,741.9,664.0,0.83,13.11,65.24
heavy-truck,0,542.7,5815.0,0.58,4.66,134.97
mini-truck,1,80.2,2002.0,0.4,6.45,13.26
heavy-truck,0,205.2,7841.0,0.78,5.02,48.85
tempo,2,634.3,294.0,0.24,16.07,39.5
heavy-truck,0,265.8,8738.0,0.87,4.26,70.13
heavy-truck,0,395.4,7319.0,0.73,4.27,103.68
tempo,2,155.6,613.0,0.51,13.16,14.15
delivery-van,3,275.3,507.0,0.63,13.7,23.55
delivery-van,3,740.9,742.0,0.93,11.43,77.74
heavy-truck,0,389.5,7474.0,0.75,5.66,75.42
mini-truck,1,420.0,4909.0,0.98,7.01,69.26
tempo,2,540.5,715.0,0.6,16.15,36.13
heavy-truck,0,354.0,3815.0,0.38,5.2,76.59
delivery-van,3,448.1,186.0,0.23,11.98,39.43
delivery-van,3,191.8,185.0,0.23,11.72,17.03
heavy-truck,0,543.7,6259.0,0.63,4.83,128.07
heavy-truck,0,742.1,9885.0,0.99,4.69,191.87
tempo,2,278.8,1188.0,0.99,15.59,23.57
mini-truck,1,325.1,2177.0,0.44,7.08,47.74
mini-truck,1,622.7,3323.0,0.66,7.73,96.06
mini-truck,1,657.2,4442.0,0.89,7.19,111.69
tempo,2,211.1,441.0,0.37,14.66,16.17
tempo,2,129.9,763.0,0.64,12.7,11.81
delivery-van,3,164.1,276.0,0.34,11.42,15.01
heavy-truck,0,585.4,3836.0,0.38,4.95,139.11
tempo,2,166.5,395.0,0.33,16.14,11.44
mini-truck,1,748.6,4410.0,0.88,6.81,128.82
